participant,date,timestamp,lonely,connect,isolate,positive,negative
Participant_9,2022-11-14,1668412821796,3.0,5.0,,9.0,
Participant_9,2022-11-13,1668329695737,7.0,10.0,8.0,10.0,3.0
Participant_9,2022-11-04,1667540575201,7.0,6.0,9.0,9.0,9.0
Participant_9,2022-11-01,1667289885881,6.0,7.0,8.0,7.0,9.0
Participant_9,2022-10-29,1667024003958,3.0,7.0,7.0,10.0,4.0
Participant_9,2022-10-27,1666855725923,10.0,3.0,10.0,,10.0
Participant_9,2022-10-23,1666512316247,,8.0,2.0,10.0,5.0
Participant_9,2022-10-22,1666416998474,2.0,8.0,3.0,10.0,1.0
Participant_9,2022-10-20,1666239065030,6.0,,3.0,10.0,4.0
Participant_9,2022-10-18,1666072549989,7.0,7.0,4.0,7.0,7.0
Participant_9,2022-11-10,1668084948461,8.0,8.0,10.0,9.0,7.0
Participant_9,2022-11-09,1667998447190,9.0,8.0,10.0,7.0,
Participant_9,2022-11-06,1667740113395,10.0,7.0,8.0,10.0,10.0
Participant_9,2022-11-03,1667480651995,10.0,10.0,9.0,10.0,10.0
Participant_9,2022-11-01,1667307321375,6.0,9.0,9.0,6.0,
Participant_9,2022-10-22,1666441341196,,3.0,6.0,6.0,
Participant_9,2022-11-11,1668182781472,7.0,6.0,8.0,10.0,3.0
Participant_9,2022-11-09,1668010246720,10.0,2.0,7.0,3.0,10.0
Participant_9,2022-11-05,1667664191135,6.0,7.0,7.0,10.0,7.0
Participant_9,2022-11-01,1667318510643,10.0,1.0,10.0,1.0,10.0
Participant_9,2022-10-21,1666365299687,8.0,9.0,8.0,10.0,2.0
Participant_9,2022-11-11,1668195616834,3.0,8.0,8.0,8.0,3.0
Participant_9,2022-10-30,1667156404680,3.0,10.0,10.0,10.0,1.0
Participant_9,2022-10-27,1666893548511,6.0,6.0,8.0,8.0,3.0
Participant_9,2022-10-23,1666548434779,2.0,9.0,10.0,10.0,3.0
Participant_9,2022-10-19,1666204326169,5.0,4.0,3.0,,7.0
Participant_9,2022-11-14,1668463305809,,7.0,10.0,10.0,2.0
Participant_9,2022-11-13,1668374343467,8.0,8.0,8.0,10.0,5.0
Participant_9,2022-11-11,1668201016837,10.0,9.0,8.0,9.0,3.0
Participant_9,2022-11-10,1668114603634,,10.0,10.0,10.0,3.0
Participant_9,2022-11-06,1667769194251,6.0,6.0,9.0,7.0,9.0
Participant_9,2022-11-03,1667510008677,8.0,5.0,9.0,8.0,10.0
Participant_9,2022-11-01,1667337212963,8.0,7.0,7.0,4.0,10.0
Participant_9,2022-10-29,1666994998227,6.0,6.0,10.0,10.0,7.0
Participant_9,2022-10-25,1666730061864,2.0,8.0,10.0,10.0,
Participant_9,2022-10-19,1666212402463,,7.0,3.0,5.0,8.0
Participant_9,2022-10-18,1666127156882,,8.0,8.0,10.0,2.0
