participant,date,timestamp,lonely,connect,isolate,positive,negative
Participant_44,2023-06-05,1685942896385,4.0,6.0,4.0,7.0,
Participant_44,2023-05-23,1684827106819,6.0,5.0,5.0,5.0,5.0
Participant_44,2023-05-12,1683870799718,7.0,2.0,8.0,5.0,5.0
Participant_44,2023-05-11,1683784177706,6.0,3.0,7.0,6.0,
Participant_44,2023-06-02,1685707182188,7.0,6.0,6.0,6.0,6.0
Participant_44,2023-05-17,1684325346779,9.0,2.0,3.0,5.0,5.0
Participant_44,2023-06-06,1686064213503,9.0,3.0,,3.0,8.0
Participant_44,2023-06-03,1685803801212,9.0,3.0,3.0,4.0,8.0
Participant_44,2023-05-10,1683734960126,,6.0,6.0,8.0,8.0
Participant_44,2023-05-20,1684608936505,3.0,7.0,6.0,6.0,
Participant_44,2023-05-16,1684263386707,4.0,6.0,,6.0,5.0
Participant_44,2023-05-15,1684174259456,8.0,3.0,,5.0,5.0
Participant_44,2023-05-10,1683742857635,,4.0,4.0,,
Participant_44,2023-05-18,1684443035147,,4.0,5.0,5.0,5.0
Participant_44,2023-05-12,1683925177382,8.0,3.0,3.0,4.0,7.0
Participant_44,2023-05-10,1683750071818,4.0,4.0,,5.0,5.0
Participant_44,2023-05-09,1683662683667,6.0,,6.0,6.0,4.0
