participant,date,timestamp,lonely,connect,isolate,positive,negative
Participant_5,2022-10-30,1667111434949,4.0,6.0,3.0,6.0,4.0
Participant_5,2022-10-26,1666774487054,4.0,4.0,4.0,7.0,4.0
Participant_5,2022-10-24,1666591971993,4.0,6.0,4.0,7.0,3.0
Participant_5,2022-10-22,1666414872499,7.0,7.0,4.0,6.0,4.0
Participant_5,2022-10-21,1666328919540,5.0,4.0,6.0,7.0,4.0
Participant_5,2022-10-20,1666243330418,5.0,6.0,4.0,6.0,6.0
Participant_5,2022-10-18,1666069391499,7.0,3.0,4.0,4.0,7.0
Participant_5,2022-10-17,1665983552244,3.0,6.0,4.0,6.0,4.0
Participant_5,2022-10-14,1665729107962,4.0,4.0,4.0,4.0,6.0
Participant_5,2022-10-13,1665643687323,3.0,3.0,6.0,7.0,3.0
Participant_5,2022-10-12,1665547485533,3.0,4.0,4.0,6.0,4.0
Participant_5,2022-10-11,1665470338515,3.0,7.0,4.0,7.0,4.0
Participant_5,2022-10-10,1665381914853,3.0,,4.0,6.0,4.0
Participant_5,2022-10-09,1665295337712,7.0,3.0,6.0,6.0,
Participant_5,2022-10-08,1665207803483,4.0,4.0,4.0,5.0,4.0
Participant_5,2022-10-07,1665115319825,7.0,4.0,6.0,4.0,6.0
Participant_5,2022-10-06,1665033596730,6.0,3.0,4.0,4.0,5.0
Participant_5,2022-10-05,1664945947990,5.0,4.0,4.0,6.0,4.0
Participant_5,2022-10-04,1664858087810,3.0,6.0,3.0,6.0,4.0
Participant_5,2022-10-03,1664780398530,3.0,3.0,3.0,6.0,3.0
Participant_5,2022-10-02,1664690474817,3.0,,4.0,7.0,3.0
Participant_5,2022-10-01,1664604216003,6.0,4.0,4.0,6.0,3.0
Participant_5,2022-09-30,1664520687799,7.0,3.0,5.0,3.0,6.0
Participant_5,2022-10-12,1665574339838,3.0,3.0,,6.0,4.0
Participant_5,2022-10-11,1665486471940,2.0,8.0,8.0,7.0,4.0
Participant_5,2022-10-05,1664969872891,3.0,6.0,,6.0,4.0
Participant_5,2022-10-04,1664881702536,4.0,7.0,,7.0,3.0
Participant_5,2022-10-03,1664795690927,3.0,6.0,,7.0,3.0
Participant_5,2022-10-02,1664709731742,3.0,7.0,,8.0,3.0
Participant_5,2022-10-01,1664624069724,3.0,6.0,5.0,7.0,4.0
Participant_5,2022-09-30,1664537480543,8.0,3.0,4.0,3.0,7.0
Participant_5,2022-09-29,1664449324410,6.0,3.0,6.0,,
Participant_5,2022-11-01,1667317000399,3.0,7.0,,6.0,3.0
Participant_5,2022-10-17,1666016931209,3.0,7.0,7.0,8.0,2.0
Participant_5,2022-10-16,1665929452605,3.0,6.0,,7.0,4.0
Participant_5,2022-10-09,1665324231346,4.0,7.0,,7.0,3.0
Participant_5,2022-10-07,1665154085510,3.0,7.0,7.0,7.0,3.0
Participant_5,2022-10-04,1664895011027,3.0,6.0,,6.0,4.0
Participant_5,2022-09-29,1664462355059,4.0,7.0,4.0,6.0,3.0
Participant_5,2022-10-30,1667149319909,7.0,3.0,,7.0,3.0
Participant_5,2022-10-06,1665076442494,7.0,3.0,,3.0,6.0
Participant_5,2022-10-05,1664989546272,7.0,3.0,,7.0,4.0
Participant_5,2022-10-02,1664733407363,3.0,6.0,,7.0,4.0
Participant_5,2022-10-01,1664644857974,3.0,4.0,,7.0,4.0
Participant_5,2022-09-29,1664472393962,7.0,6.0,5.0,4.0,6.0
Participant_5,2022-10-27,1666900012393,4.0,6.0,,6.0,4.0
Participant_5,2022-10-18,1666122191992,7.0,3.0,,4.0,6.0
Participant_5,2022-10-14,1665777970280,6.0,5.0,,6.0,4.0
Participant_5,2022-10-08,1665256927084,7.0,3.0,,3.0,6.0
Participant_5,2022-10-03,1664829010773,3.0,7.0,,7.0,4.0
