participant,date,timestamp,lonely,connect,isolate,positive,negative
Participant_11,2022-11-17,1668661058132,4.0,6.0,3.0,6.0,4.0
Participant_11,2022-11-15,1668492649820,6.0,3.0,7.0,3.0,7.0
Participant_11,2022-11-14,1668409358154,6.0,3.0,7.0,6.0,4.0
Participant_11,2022-11-13,1668318145461,,4.0,7.0,4.0,6.0
Participant_11,2022-11-12,1668234669131,,6.0,4.0,6.0,4.0
Participant_11,2022-11-11,1668146091452,,4.0,6.0,4.0,6.0
Participant_11,2022-11-10,1668059262329,5.0,4.0,6.0,6.0,4.0
Participant_11,2022-11-09,1667970652284,6.0,3.0,7.0,6.0,4.0
Participant_11,2022-11-08,1667885130382,,,,6.0,4.0
Participant_11,2022-11-07,1667797449093,,4.0,4.0,6.0,4.0
Participant_11,2022-11-06,1667716917410,,3.0,4.0,6.0,4.0
Participant_11,2022-11-03,1667455346036,,5.0,,,
Participant_11,2022-11-02,1667370988588,,5.0,4.0,6.0,4.0
Participant_11,2022-11-01,1667284470841,7.0,4.0,7.0,4.0,6.0
Participant_11,2022-10-30,1667112545370,,3.0,6.0,4.0,7.0
Participant_11,2022-10-29,1667022876846,3.0,5.0,3.0,7.0,4.0
Participant_11,2022-10-28,1666935823897,,3.0,6.0,5.0,4.0
Participant_11,2022-10-27,1666849027807,6.0,2.0,7.0,3.0,6.0
Participant_11,2022-10-26,1666762442185,,,,,6.0
Participant_11,2022-10-25,1666676770935,4.0,3.0,7.0,5.0,
Participant_11,2022-10-24,1666592883199,,3.0,,,
Participant_11,2022-10-23,1666503671734,5.0,6.0,6.0,,7.0
Participant_11,2022-11-19,1668859580514,4.0,6.0,6.0,7.0,3.0
Participant_11,2022-11-17,1668687007731,,8.0,8.0,7.0,3.0
Participant_11,2022-11-16,1668603702789,,6.0,,6.0,4.0
Participant_11,2022-11-15,1668518807809,6.0,6.0,6.0,6.0,4.0
Participant_11,2022-11-13,1668345825437,,4.0,7.0,4.0,6.0
Participant_11,2022-11-12,1668254949594,,3.0,,3.0,7.0
Participant_11,2022-11-11,1668171816733,,,7.0,7.0,4.0
Participant_11,2022-11-09,1667995566128,6.0,4.0,,6.0,4.0
Participant_11,2022-11-06,1667738839837,,4.0,,,
Participant_11,2022-11-05,1667650081971,,6.0,,7.0,4.0
Participant_11,2022-11-04,1667563429518,,5.0,,4.0,6.0
Participant_11,2022-10-28,1666955547020,,4.0,,2.0,8.0
Participant_11,2022-10-27,1666871577662,,6.0,6.0,6.0,4.0
Participant_11,2022-10-24,1666612843590,7.0,4.0,4.0,3.0,7.0
Participant_11,2022-10-23,1666531187130,6.0,,4.0,,7.0
Participant_11,2022-11-17,1668698207307,3.0,8.0,8.0,8.0,2.0
Participant_11,2022-11-16,1668621779462,,,,7.0,3.0
Participant_11,2022-11-15,1668525781663,,,,,
Participant_11,2022-11-13,1668352275522,4.0,6.0,,6.0,4.0
Participant_11,2022-11-12,1668265930317,,6.0,,6.0,4.0
Participant_11,2022-11-11,1668181367952,,5.0,,6.0,4.0
Participant_11,2022-11-10,1668096283334,,6.0,7.0,6.0,4.0
Participant_11,2022-11-09,1668015247164,,6.0,6.0,7.0,3.0
