participant,date,timestamp,lonely,connect,isolate,positive,negative
Participant_6,2022-11-01,1667292293683,,,,6.0,
Participant_6,2022-10-31,1667197793652,5.0,3.0,6.0,,
Participant_6,2022-10-30,1667114381289,7.0,3.0,7.0,5.0,
Participant_6,2022-10-29,1667024954537,6.0,5.0,8.0,,
Participant_6,2022-10-26,1666763619988,6.0,6.0,5.0,4.0,6.0
Participant_6,2022-10-23,1666507552491,6.0,4.0,3.0,,
Participant_6,2022-10-21,1666335978951,,7.0,3.0,6.0,4.0
Participant_6,2022-10-16,1665910354797,4.0,4.0,6.0,,
Participant_6,2022-10-07,1665147075252,,4.0,6.0,,
Participant_6,2022-10-27,1666869744852,3.0,9.0,8.0,7.0,2.0
Participant_6,2022-10-26,1666785243714,,6.0,7.0,,
Participant_6,2022-10-25,1666698008847,4.0,5.0,,,
Participant_6,2022-10-23,1666524331312,3.0,7.0,,7.0,
Participant_6,2022-10-22,1666437076825,3.0,8.0,8.0,6.0,5.0
Participant_6,2022-10-16,1665940790370,8.0,4.0,,,
Participant_6,2022-10-16,1665905605926,,,,,
Participant_6,2022-10-14,1665749071867,7.0,2.0,,3.0,6.0
Participant_6,2022-10-13,1665661773642,6.0,9.0,,,
Participant_6,2022-10-12,1665595868140,7.0,3.0,7.0,,7.0
Participant_6,2022-10-11,1665490718903,3.0,8.0,8.0,5.0,3.0
Participant_6,2022-10-10,1665410569476,3.0,3.0,3.0,1.0,7.0
Participant_6,2022-10-09,1665315836989,2.0,3.0,6.0,7.0,4.0
Participant_6,2022-10-08,1665239959126,,,,,
Participant_6,2022-10-07,1665147054458,4.0,3.0,,,
Participant_6,2022-10-06,1665055215928,5.0,4.0,8.0,7.0,2.0
Participant_6,2022-10-05,1664969865953,7.0,3.0,,4.0,7.0
Participant_6,2022-10-04,1664881700010,,,,4.0,7.0
Participant_6,2022-10-03,1664796971463,7.0,5.0,7.0,5.0,7.0
Participant_6,2022-11-01,1667316291138,5.0,4.0,4.0,3.0,6.0
Participant_6,2022-10-29,1667054026123,8.0,3.0,2.0,2.0,8.0
Participant_6,2022-10-26,1666795929708,6.0,4.0,,,
Participant_6,2022-10-25,1666709088608,6.0,4.0,,3.0,7.0
Participant_6,2022-10-22,1666447612637,8.0,6.0,,6.0,3.0
Participant_6,2022-10-16,1665905622480,,,,,
Participant_6,2022-10-14,1665775291414,4.0,7.0,8.0,7.0,4.0
Participant_6,2022-10-13,1665683455004,8.0,2.0,,3.0,8.0
Participant_6,2022-10-12,1665595899738,6.0,6.0,,8.0,4.0
Participant_6,2022-10-10,1665424931118,7.0,3.0,6.0,3.0,9.0
Participant_6,2022-10-09,1665347906953,4.0,6.0,,6.0,5.0
Participant_6,2022-10-08,1665239938442,,,,,
Participant_6,2022-10-07,1665157144749,2.0,5.0,6.0,7.0,3.0
Participant_6,2022-10-06,1665071446827,7.0,3.0,,6.0,3.0
Participant_6,2022-10-05,1664981966663,8.0,4.0,,4.0,7.0
Participant_6,2022-10-04,1664897106493,2.0,6.0,,6.0,4.0
Participant_6,2022-10-03,1664809489515,3.0,6.0,10.0,6.0,
Participant_6,2022-10-31,1667242275764,3.0,2.0,7.0,,
Participant_6,2022-10-27,1666890567525,2.0,6.0,,6.0,3.0
Participant_6,2022-10-26,1666805244005,6.0,7.0,,,
Participant_6,2022-10-16,1665940805561,7.0,3.0,,,
Participant_6,2022-10-16,1665905629963,7.0,3.0,,4.0,6.0
Participant_6,2022-10-14,1665775309054,3.0,8.0,8.0,8.0,3.0
Participant_6,2022-10-13,1665683534298,9.0,3.0,,2.0,8.0
Participant_6,2022-10-12,1665595926701,8.0,2.0,,,
Participant_6,2022-10-10,1665424951197,,,,8.0,3.0
Participant_6,2022-10-09,1665347925474,4.0,6.0,,7.0,3.0
Participant_6,2022-10-09,1665315872945,,,,,
Participant_6,2022-10-08,1665207646761,3.0,4.0,6.0,,
Participant_6,2022-10-06,1665084773066,4.0,4.0,,6.0,6.0
Participant_6,2022-10-05,1664990952674,7.0,3.0,,5.0,3.0
Participant_6,2022-10-04,1664912139093,4.0,3.0,,3.0,7.0
Participant_6,2022-10-03,1664816568080,,,,,
Participant_6,2022-10-31,1667251654948,7.0,3.0,6.0,,
Participant_6,2022-10-29,1667071756374,7.0,4.0,2.0,4.0,8.0
Participant_6,2022-10-28,1666985025481,5.0,4.0,,,
Participant_6,2022-10-26,1666813164534,7.0,4.0,,,
Participant_6,2022-10-20,1666297674228,4.0,6.0,,,
Participant_6,2022-10-19,1666205156615,2.0,,,6.0,3.0
Participant_6,2022-10-14,1665775340823,4.0,7.0,7.0,6.0,4.0
Participant_6,2022-10-14,1665727969276,8.0,3.0,,,
Participant_6,2022-10-13,1665661790375,,,,,
Participant_6,2022-10-11,1665476733495,7.0,3.0,,,
Participant_6,2022-10-10,1665384517868,3.0,5.0,,,
Participant_6,2022-10-09,1665315862419,5.0,,,,
Participant_6,2022-10-08,1665207671273,6.0,4.0,,6.0,4.0
Participant_6,2022-10-07,1665147121525,5.0,3.0,8.0,6.0,3.0
Participant_6,2022-10-05,1664969840158,8.0,3.0,,4.0,7.0
Participant_6,2022-10-04,1664857008465,7.0,4.0,,3.0,6.0
