participant,date,timestamp,lonely,connect,isolate,positive,negative
Participant_17,2022-12-07,1670400203232,7.0,3.0,7.0,4.0,3.0
Participant_17,2022-11-30,1669793718540,4.0,3.0,6.0,6.0,3.0
Participant_17,2022-11-18,1668757253129,3.0,3.0,4.0,7.0,2.0
Participant_17,2022-11-10,1668069078418,3.0,3.0,3.0,8.0,2.0
Participant_17,2022-12-03,1670071173632,2.0,8.0,6.0,8.0,2.0
Participant_17,2022-11-30,1669811645773,7.0,2.0,5.0,7.0,5.0
Participant_17,2022-11-27,1669552928650,7.0,3.0,5.0,3.0,7.0
Participant_17,2022-11-23,1669209018265,7.0,3.0,4.0,6.0,5.0
Participant_17,2022-11-18,1668777609066,3.0,2.0,6.0,7.0,4.0
Participant_17,2022-11-15,1668517937566,2.0,2.0,7.0,10.0,2.0
Participant_17,2022-11-11,1668169946040,3.0,2.0,7.0,9.0,2.0
Participant_17,2022-11-09,1667998386267,3.0,7.0,7.0,7.0,1.0
Participant_17,2022-11-26,1669477138545,7.0,2.0,,3.0,7.0
Participant_17,2022-11-25,1669393359568,7.0,2.0,6.0,5.0,6.0
Participant_17,2022-12-07,1670444256794,3.0,2.0,7.0,6.0,5.0
Participant_17,2022-11-23,1669228444986,4.0,3.0,6.0,7.0,2.0
Participant_17,2022-11-21,1669056571355,8.0,2.0,7.0,5.0,6.0
Participant_17,2022-11-17,1668710798375,1.0,3.0,6.0,9.0,1.0
Participant_17,2022-11-11,1668195091710,2.0,3.0,7.0,9.0,1.0
Participant_17,2022-12-07,1670451064434,7.0,2.0,5.0,4.0,7.0
Participant_17,2022-11-24,1669323328500,7.0,1.0,4.0,4.0,7.0
Participant_17,2022-11-20,1668979481809,3.0,2.0,6.0,7.0,1.0
Participant_17,2022-11-16,1668632400214,2.0,2.0,6.0,8.0,2.0
Participant_17,2022-11-09,1668028801727,1.0,9.0,7.0,9.0,1.0
