participant,date,timestamp,lonely,connect,isolate,positive,negative
Participant_31,2023-03-03,1677824708658,6.0,3.0,1.0,7.0,3.0
Participant_31,2023-04-15,1681553307011,4.0,6.0,6.0,4.0,4.0
Participant_31,2023-04-14,1681470185354,8.0,2.0,3.0,2.0,9.0
Participant_31,2023-04-11,1681207632233,4.0,6.0,7.0,6.0,4.0
Participant_31,2023-04-10,1681121873129,7.0,2.0,3.0,4.0,8.0
Participant_31,2023-04-09,1681038149428,3.0,6.0,7.0,6.0,4.0
Participant_31,2023-04-03,1680519278291,3.0,6.0,6.0,6.0,4.0
Participant_31,2023-03-26,1679829660992,3.0,8.0,9.0,9.0,2.0
Participant_31,2023-03-25,1679745140931,4.0,4.0,4.0,6.0,4.0
Participant_31,2023-03-24,1679656338905,6.0,4.0,2.0,4.0,7.0
Participant_31,2023-03-20,1679313238717,6.0,4.0,6.0,6.0,5.0
Participant_31,2023-03-17,1679052276503,6.0,6.0,4.0,6.0,4.0
Participant_31,2023-03-16,1678965152156,3.0,6.0,7.0,7.0,4.0
Participant_31,2023-03-14,1678794929973,3.0,6.0,5.0,8.0,3.0
Participant_31,2023-04-18,1681823858047,6.0,4.0,5.0,6.0,5.0
Participant_31,2023-04-17,1681736573769,2.0,8.0,9.0,8.0,2.0
Participant_31,2023-04-16,1681651631762,4.0,6.0,6.0,6.0,4.0
Participant_31,2023-04-13,1681391264818,4.0,4.0,4.0,4.0,7.0
Participant_31,2023-04-09,1681046188094,4.0,6.0,6.0,6.0,4.0
Participant_31,2023-04-07,1680872559241,4.0,4.0,1.0,6.0,3.0
Participant_31,2023-03-31,1680268510789,4.0,4.0,4.0,,3.0
Participant_31,2023-03-26,1679839634002,7.0,6.0,4.0,6.0,6.0
Participant_31,2023-03-24,1679668046368,6.0,4.0,4.0,4.0,6.0
Participant_31,2023-03-23,1679580438399,4.0,6.0,6.0,6.0,4.0
Participant_31,2023-03-22,1679494303793,4.0,4.0,6.0,6.0,4.0
Participant_31,2023-03-19,1679234977841,7.0,4.0,3.0,1.0,9.0
Participant_31,2023-03-16,1678976600672,2.0,8.0,9.0,8.0,3.0
Participant_31,2023-03-15,1678889960206,2.0,8.0,7.0,8.0,1.0
Participant_31,2023-03-04,1677939929532,2.0,4.0,8.0,7.0,2.0
Participant_31,2023-04-18,1681833757085,4.0,4.0,,6.0,6.0
Participant_31,2023-04-17,1681749778263,6.0,4.0,4.0,4.0,7.0
Participant_31,2023-04-15,1681574752797,3.0,7.0,7.0,7.0,3.0
Participant_31,2023-04-14,1681488255145,6.0,4.0,6.0,4.0,6.0
Participant_31,2023-04-12,1681329053670,8.0,2.0,2.0,2.0,10.0
Participant_31,2023-04-10,1681143278541,3.0,6.0,7.0,7.0,3.0
Participant_31,2023-04-04,1680624668784,4.0,6.0,6.0,4.0,7.0
Participant_31,2023-04-01,1680367444597,3.0,7.0,6.0,6.0,4.0
Participant_31,2023-03-27,1679933490664,3.0,7.0,7.0,7.0,3.0
Participant_31,2023-03-26,1679851990633,2.0,6.0,8.0,7.0,3.0
Participant_31,2023-03-21,1679418504995,6.0,4.0,4.0,4.0,4.0
Participant_31,2023-03-20,1679333210976,4.0,6.0,4.0,6.0,4.0
Participant_31,2023-03-19,1679245690391,6.0,6.0,6.0,3.0,7.0
Participant_31,2023-03-17,1679072853805,4.0,6.0,4.0,6.0,4.0
Participant_31,2023-03-16,1678988129722,2.0,7.0,8.0,7.0,4.0
Participant_31,2023-03-14,1678816443694,3.0,7.0,8.0,8.0,2.0
Participant_31,2023-03-03,1677863113745,10.0,1.0,1.0,1.0,10.0
Participant_31,2023-04-19,1681928889811,4.0,4.0,4.0,6.0,5.0
Participant_31,2023-04-14,1681497577732,6.0,4.0,6.0,4.0,6.0
Participant_31,2023-04-13,1681415810043,6.0,3.0,2.0,3.0,7.0
Participant_31,2023-04-12,1681329099116,9.0,2.0,2.0,2.0,10.0
Participant_31,2023-04-01,1680376367920,4.0,4.0,4.0,6.0,4.0
Participant_31,2023-03-31,1680286825290,7.0,2.0,1.0,3.0,9.0
Participant_31,2023-03-28,1680027616392,4.0,6.0,7.0,4.0,4.0
Participant_31,2023-03-27,1679941394831,3.0,4.0,3.0,6.0,4.0
Participant_31,2023-03-22,1679513555946,3.0,6.0,6.0,6.0,4.0
Participant_31,2023-03-21,1679425480396,6.0,3.0,4.0,6.0,4.0
Participant_31,2023-03-20,1679341862405,4.0,6.0,5.0,6.0,4.0
Participant_31,2023-03-17,1679084594803,4.0,7.0,6.0,7.0,3.0
Participant_31,2023-03-15,1678909157176,3.0,4.0,4.0,8.0,2.0
Participant_31,2023-03-05,1678047774219,6.0,4.0,7.0,7.0,6.0
Participant_31,2023-03-03,1677871779633,7.0,3.0,6.0,4.0,7.0
