participant,date,timestamp,lonely,connect,isolate,positive,negative
Participant_24,2023-02-12,1676190746399,2.0,9.0,2.0,9.0,2.0
Participant_24,2023-02-09,1675930025571,3.0,8.0,4.0,7.0,3.0
Participant_24,2023-02-05,1675585998608,7.0,3.0,7.0,3.0,8.0
Participant_24,2023-01-25,1674641226031,4.0,7.0,4.0,7.0,3.0
Participant_24,2023-02-22,1677071959602,3.0,8.0,9.0,10.0,2.0
Participant_24,2023-02-20,1676895784937,3.0,8.0,7.0,7.0,3.0
Participant_24,2023-02-10,1676038284038,8.0,8.0,7.0,9.0,2.0
Participant_24,2023-02-09,1675945263820,8.0,3.0,,4.0,7.0
Participant_24,2023-02-08,1675862961567,7.0,3.0,5.0,4.0,7.0
Participant_24,2023-01-29,1674994757785,9.0,10.0,10.0,8.0,2.0
Participant_24,2023-01-25,1674654428261,6.0,7.0,8.0,8.0,3.0
Participant_24,2023-02-19,1676824989440,3.0,8.0,8.0,8.0,2.0
Participant_24,2023-02-14,1676394055171,3.0,8.0,8.0,8.0,3.0
Participant_24,2023-02-11,1676129876992,4.0,3.0,,3.0,7.0
Participant_24,2023-02-07,1675783444414,,4.0,6.0,6.0,4.0
Participant_24,2023-02-06,1675697466595,3.0,9.0,9.0,8.0,3.0
Participant_24,2023-02-05,1675610903613,8.0,3.0,,4.0,6.0
Participant_24,2023-02-03,1675441198130,7.0,7.0,,7.0,4.0
Participant_24,2023-01-30,1675092123984,8.0,6.0,5.0,6.0,5.0
Participant_24,2023-01-25,1674663144943,6.0,6.0,7.0,7.0,4.0
Participant_24,2023-02-20,1676917324656,4.0,7.0,8.0,7.0,3.0
Participant_24,2023-02-18,1676746399572,3.0,8.0,8.0,8.0,3.0
Participant_24,2023-02-17,1676658556648,4.0,8.0,8.0,7.0,3.0
Participant_24,2023-02-15,1676485329877,3.0,7.0,7.0,7.0,3.0
Participant_24,2023-02-10,1676053170790,7.0,7.0,8.0,7.0,4.0
Participant_24,2023-02-06,1675712536819,2.0,8.0,9.0,8.0,2.0
Participant_24,2023-02-04,1675541707480,8.0,7.0,,8.0,3.0
Participant_24,2023-02-01,1675282315841,4.0,3.0,5.0,4.0,6.0
Participant_24,2023-01-31,1675189639879,8.0,8.0,8.0,8.0,3.0
Participant_24,2023-01-29,1675016987106,8.0,8.0,8.0,7.0,3.0
Participant_24,2023-01-27,1674843587818,9.0,9.0,8.0,8.0,2.0
Participant_24,2023-01-25,1674677696205,9.0,8.0,8.0,8.0,3.0
Participant_24,2023-01-24,1674587778953,4.0,4.0,4.0,4.0,6.0
Participant_24,2023-02-18,1676752658252,4.0,7.0,7.0,7.0,3.0
Participant_24,2023-02-17,1676666957719,3.0,8.0,,8.0,2.0
Participant_24,2023-02-16,1676580127935,7.0,3.0,5.0,3.0,7.0
Participant_24,2023-02-06,1675720984170,5.0,5.0,7.0,,4.0
Participant_24,2023-02-04,1675543571714,7.0,8.0,6.0,7.0,3.0
Participant_24,2023-02-03,1675457186051,8.0,3.0,,3.0,7.0
Participant_24,2023-02-02,1675371875486,5.0,4.0,5.0,4.0,7.0
Participant_24,2023-02-01,1675207185523,3.0,3.0,3.0,3.0,7.0
Participant_24,2023-01-30,1675111471078,8.0,8.0,7.0,7.0,3.0
Participant_24,2023-01-27,1674775487090,8.0,8.0,7.0,8.0,3.0
Participant_24,2023-01-24,1674592803058,6.0,6.0,6.0,6.0,6.0
