participant,date,timestamp,lonely,connect,isolate,positive,negative
Participant_26,2023-02-23,1677134640676,2.0,9.0,2.0,9.0,3.0
Participant_26,2023-02-05,1675588127559,2.0,7.0,1.0,9.0,3.0
Participant_26,2023-02-02,1675325256276,3.0,7.0,2.0,9.0,2.0
Participant_26,2023-01-30,1675058119599,9.0,6.0,7.0,3.0,8.0
Participant_26,2023-01-28,1674892264131,3.0,,8.0,7.0,
Participant_26,2023-02-06,1675684562887,1.0,8.0,9.0,9.0,3.0
Participant_26,2023-02-02,1675341646989,2.0,9.0,9.0,10.0,2.0
Participant_26,2023-02-01,1675268264206,1.0,7.0,9.0,9.0,3.0
Participant_26,2023-02-23,1677176069054,1.0,10.0,10.0,10.0,2.0
Participant_26,2023-02-12,1676231006376,1.0,9.0,10.0,9.0,2.0
Participant_26,2023-02-10,1676058284542,1.0,10.0,9.0,10.0,1.0
Participant_26,2023-02-09,1675969315031,1.0,10.0,10.0,10.0,2.0
Participant_26,2023-02-05,1675620964004,1.0,10.0,8.0,10.0,1.0
Participant_26,2023-02-04,1675535754953,1.0,10.0,10.0,10.0,1.0
Participant_26,2023-01-29,1675016253095,,6.0,6.0,6.0,6.0
Participant_26,2023-02-22,1677099535950,3.0,9.0,10.0,10.0,3.0
Participant_26,2023-02-20,1676927728445,1.0,10.0,10.0,10.0,1.0
Participant_26,2023-02-15,1676492351279,3.0,8.0,9.0,9.0,2.0
Participant_26,2023-02-04,1675463114598,1.0,9.0,8.0,9.0,2.0
Participant_26,2023-02-01,1675285386293,2.0,8.0,7.0,8.0,3.0
Participant_26,2023-01-31,1675117736729,3.0,7.0,8.0,8.0,3.0
Participant_26,2023-01-30,1675029320724,6.0,6.0,8.0,7.0,4.0
